"From","Trough","To","Depth","Length","To Trough","Recovery","strategy"
2020-02-15,2020-03-16,NA,-0.6919,322,31,NA,"first_maxSR"
2020-01-18,2020-01-25,2020-01-29,-0.1086,12,8,4,"first_maxSR"
2020-01-31,2020-01-31,2020-02-02,-0.0273,3,1,2,"first_maxSR"
2020-01-08,2020-01-09,2020-01-10,-0.0267,3,2,1,"first_maxSR"
2020-01-02,2020-01-02,2020-01-03,-0.0242,2,1,1,"first_maxSR"
