"Strategy_name","Test_period","value","variable","KPI"
"first_InvInef_all","2020",0.533483410580927,"Total Return","TotalReturn"
"first_InvInef_all","2020",0.3423,"Annualized Return","AnnualizedReturns"
"first_InvInef_all","2020",0.7538,"Annualized Std Dev","AnnualizedReturns"
"first_InvInef_all","2020",0.4383,"Annualized Sharpe (Rf=0.89%)","AnnualizedReturns"
"first_InvInef_all","2020",0.0475,"daily  Std Dev","Distributions"
"first_InvInef_all","2020",-2.7402,"Skewness","Distributions"
"first_InvInef_all","2020",26.9353,"Kurtosis","Distributions"
"first_InvInef_all","2020",23.9353,"Excess kurtosis","Distributions"
"first_InvInef_all","2020",-2.7629,"Sample skewness","Distributions"
"first_InvInef_all","2020",24.2821,"Sample excess kurtosis","Distributions"
"first_InvInef_all","2020",0.0384,"Semi Deviation","DownsideRisk"
"first_InvInef_all","2020",0.0252,"Gain Deviation","DownsideRisk"
"first_InvInef_all","2020",0.0465,"Loss Deviation","DownsideRisk"
"first_InvInef_all","2020",0.0374,"Downside Deviation (MAR=0%)","DownsideRisk"
"first_InvInef_all","2020",0.0374,"Downside Deviation (Rf=0%)","DownsideRisk"
"first_InvInef_all","2020",0.0374,"Downside Deviation (0%)","DownsideRisk"
"first_InvInef_all","2020",0.702,"Maximum Drawdown","DownsideRisk"
"first_InvInef_all","2020",-0.0728,"Historical VaR (95%)","DownsideRisk"
"first_InvInef_all","2020",-0.1189,"Historical ES (95%)","DownsideRisk"
"first_InvInef_all","2020",-0.0829,"Modified VaR (95%)","DownsideRisk"
"first_InvInef_all","2020",-0.276,"Modified ES (95%)","DownsideRisk"
"first_InvInef_all","2020",0.0374,"daily downside risk","DownsideRiskRatio"
"first_InvInef_all","2020",0.5941,"Annualised downside risk","DownsideRiskRatio"
"first_InvInef_all","2020",0.0143,"Downside potential","DownsideRiskRatio"
"first_InvInef_all","2020",1.1703,"Omega","DownsideRiskRatio"
"first_InvInef_all","2020",0.0652,"Sortino ratio","DownsideRiskRatio"
"first_InvInef_all","2020",0.0168,"Upside potential","DownsideRiskRatio"
"first_InvInef_all","2020",0.5177,"Upside potential ratio","DownsideRiskRatio"
"first_InvInef_all","2020",0.1703,"Omega-sharpe ratio","DownsideRiskRatio"
