"","second_InvInef_all"
"Semi Deviation",0.0452
"Gain Deviation",0.0354
"Loss Deviation",0.0497
"Downside Deviation (MAR=0%)",0.0434
"Downside Deviation (Rf=0%)",0.0434
"Downside Deviation (0%)",0.0434
"Maximum Drawdown",0.7498
"Historical VaR (95%)",-0.0824
"Historical ES (95%)",-0.1412
"Modified VaR (95%)",-0.1014
"Modified ES (95%)",-0.2238
