"","third_InvInef_all"
"Semi Deviation",0.0301
"Gain Deviation",0.0212
"Loss Deviation",0.0319
"Downside Deviation (MAR=0%)",0.0315
"Downside Deviation (Rf=0%)",0.0315
"Downside Deviation (0%)",0.0315
"Maximum Drawdown",0.7192
"Historical VaR (95%)",-0.0753
"Historical ES (95%)",-0.103
"Modified VaR (95%)",-0.0737
"Modified ES (95%)",-0.1162
