"","From","Trough","To","Depth","Length","To Trough","Recovery","strategy"
"1",2020-02-15,2020-03-16,NA,-0.702,322,31,NA,"first_InvInef_all"
"2",2020-01-18,2020-01-25,2020-01-29,-0.1145,12,8,4,"first_InvInef_all"
"3",2020-01-08,2020-01-09,2020-01-12,-0.0389,5,2,3,"first_InvInef_all"
"4",2020-01-31,2020-01-31,2020-02-01,-0.0262,2,1,1,"first_InvInef_all"
"5",2020-01-13,2020-01-13,2020-01-14,-0.0182,2,1,1,"first_InvInef_all"
