"","BTC","ETH","BNB","XRP","ADA","DOGE","TRX","LTC","BTCH","LINK","XLM","ETC","XRM","FIL","MANA","EOS","KCS","ZEC","WAVES"
"MVP_index_19_2022",0.7262,0.0145,0.0131,0.0112,0.0127,0.0121,0.0148,0.0131,0.0115,0.0143,0.0183,0.0153,0.0162,0.0208,0.0131,0.0108,0.0331,0.0114,0.0174
"maxSR_index_19_2022",0.7421,0.0164,0.0182,0.0223,0.0124,0.0139,0.0147,0.0112,0.0117,0.0125,0.0117,0.0123,0.0138,0.015,0.0115,0.0116,0.0191,0.0119,0.0177
"EW_index_19_2022",0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526
"InvInef_index_19_2022",0.0437,0.0529,0.1218,0.0346,0.0502,0.0216,0.0541,0.0507,0.065,0.0517,0.0384,0.0738,0.0847,0.0363,0.0306,0.0472,0.0361,0.0732,0.0333
"PropInef_index_19_2022",0.0542,0.0447,0.0194,0.0685,0.0472,0.1095,0.0438,0.0467,0.0364,0.0458,0.0616,0.0321,0.028,0.0653,0.0775,0.0502,0.0657,0.0324,0.0711
