"","BTC","ETH","BNB","XRP","ADA","DOGE","TRX","LTC","BTCH","LINK","XLM","ETC","XRM","FIL","MANA","EOS","KCS","ZEC","WAVES"
"MVP_index_19_2020",0.7339,0.0139,0.0272,0.0237,0.011,0.0247,0.012,0.0117,0.0114,0.0115,0.0147,0.0146,0.0114,0.0155,0.013,0.0103,0.0133,0.0135,0.0126
"maxSR_index_19_2020",0.7158,0.0121,0.046,0.0123,0.0102,0.0246,0.0114,0.0167,0.0107,0.017,0.0149,0.012,0.0127,0.015,0.0131,0.011,0.0109,0.017,0.0169
"EW_index_19_2020",0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526
"InvInef_index_19_2020",0.0276,0.0538,0.029,0.0357,0.1374,0.0315,0.0271,0.0571,0.0532,0.0385,0.0459,0.0396,0.0506,0.1263,0.0491,0.0681,0.0265,0.0509,0.0523
"PropInef_index_19_2020",0.0821,0.042,0.078,0.0634,0.0165,0.0718,0.0836,0.0397,0.0425,0.0588,0.0493,0.0572,0.0447,0.0179,0.046,0.0332,0.0855,0.0444,0.0432
