"","BTC","XRP","DOGE","FIL"
"MVP_less_4_2021",0.6278,0.0175,0.3187,0.036
"maxSR_less_4_2021",0.6701,0.0147,0.2763,0.039
"EW_less_4_2021",0.25,0.25,0.25,0.25
"InvInef_less_4_2021",0.1886,0.3077,0.3417,0.162
"PropInef_less_4_2021",0.3004,0.1842,0.1658,0.3496
