"","BTC","ETH","BNB","XRP","ADA","DOGE","TRX","LTC","BTCH","LINK","XLM","ETC","XRM","FIL","MANA","EOS","KCS","ZEC","WAVES"
"MVP_index_19_2021",0.3456,0.0172,0.0244,0.0158,0.0107,0.1497,0.0149,0.0162,0.0116,0.0123,0.0137,0.0173,0.0234,0.0146,0.0145,0.0159,0.2352,0.0211,0.0258
"maxSR_index_19_2021",0.4647,0.0134,0.032,0.017,0.013,0.1518,0.0142,0.0151,0.011,0.0129,0.014,0.013,0.0182,0.0246,0.0175,0.013,0.1119,0.0154,0.0271
"EW_index_19_2021",0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526
"InvInef_index_19_2021",0.0273,0.0445,0.0495,0.0235,0.0893,0.0182,0.0396,0.0505,0.057,0.0319,0.0327,0.1651,0.061,0.02,0.0656,0.0488,0.0376,0.0873,0.0508
"PropInef_index_19_2021",0.0765,0.0469,0.0422,0.089,0.0234,0.1151,0.0528,0.0413,0.0366,0.0655,0.0639,0.0127,0.0343,0.1045,0.0318,0.0428,0.0555,0.0239,0.0411
