"","BTC","BNB","XRP","DOGE","TRX","LINK","ETC","KCS"
"MVP_less_8_2020",0.128,0.234,0.02,0.064,0.268,0.096,0.098,0.092
"maxSR_less_8_2020",0.324,0.01,0.01,0.078,0.014,0.48,0.072,0.012
"EW_less_8_2020",0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"InvInef_less_8_2020",0.0691,0.1349,0.0727,0.0895,0.3442,0.0789,0.0678,0.143
"PropInef_less_8_2020",0.1721,0.0881,0.1636,0.1328,0.0345,0.1505,0.1752,0.0831
