"","BTC","BNB","XRP","DOGE","TRX","KCS"
"MVP_less_6_2020",0.028,0.722,0.014,0.024,0.202,0.01
"maxSR_less_6_2020",0.19,0.032,0.014,0.034,0.044,0.686
"EW_less_6_2020",0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
"InvInef_less_6_2020",0.0875,0.1709,0.0921,0.1134,0.4361,0.1
"PropInef_less_6_2020",0.2321,0.1188,0.2205,0.1791,0.0466,0.203
