"","BTC","XRP","DOGE","XLM","FIL","MANA","KCS","WAVES"
"MVP_less_8_2022",0.048,0.13,0.136,0.036,0.094,0.35,0.154,0.052
"maxSR_less_8_2022",0.044,0.01,0.148,0.326,0.308,0.052,0.01,0.102
"EW_less_8_2022",0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"InvInef_less_8_2022",0.1018,0.1232,0.2835,0.0805,0.1168,0.0504,0.1259,0.118
"PropInef_less_8_2022",0.1248,0.1031,0.0448,0.1578,0.1087,0.2522,0.1009,0.1077
