"","ETH","BNB","TRX","BTCH","LINK","ETC","XRM","ZEC"
"MVP_most_8_2022",0.338,0.01,0.072,0.316,0.01,0.168,0.012,0.074
"maxSR_most_8_2022",0.1,0.268,0.028,0.026,0.052,0.144,0.012,0.37
"EW_most_8_2022",0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"InvInef_most_8_2022",0.1018,0.1232,0.2835,0.0805,0.1168,0.0504,0.1259,0.118
"PropInef_most_8_2022",0.1248,0.1031,0.0448,0.1578,0.1087,0.2522,0.1009,0.1077
