"","BTC","XRP","DOGE","FIL"
"MVP_less_4_2021",0.014,0.6,0.262,0.124
"maxSR_less_4_2021",0.134,0.794,0.02,0.052
"EW_less_4_2021",0.25,0.25,0.25,0.25
"InvInef_less_4_2021",0.1886,0.3077,0.3417,0.162
"PropInef_less_4_2021",0.3004,0.1842,0.1658,0.3496
