"","ADA","LTC","BTCH","ETC","XRM","MANA","ZEC","WAVES"
"MVP_most_8_2021",0.418,0.162,0.01,0.172,0.164,0.034,0.028,0.012
"maxSR_most_8_2021",0.014,0.01,0.01,0.11,0.01,0.034,0.798,0.014
"EW_most_8_2021",0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"InvInef_most_8_2021",0.0797,0.1301,0.1445,0.0685,0.261,0.053,0.1156,0.1476
"PropInef_most_8_2021",0.157,0.0962,0.0867,0.1827,0.048,0.2362,0.1083,0.0848
