"","second_EW"
"daily downside risk",0.0433
"Annualised downside risk",0.6867
"Downside potential",0.0187
"Omega",1.2068
"Sortino ratio",0.0893
"Upside potential",0.0225
"Upside potential ratio",0.567
"Omega-sharpe ratio",0.2068
