"","third_EW"
"Semi Deviation",0.0304
"Gain Deviation",0.0211
"Loss Deviation",0.0322
"Downside Deviation (MAR=0%)",0.0318
"Downside Deviation (Rf=0%)",0.0318
"Downside Deviation (0%)",0.0318
"Maximum Drawdown",0.733
"Historical VaR (95%)",-0.073
"Historical ES (95%)",-0.1034
"Modified VaR (95%)",-0.0745
"Modified ES (95%)",-0.1174
