"","first_EW"
"daily downside risk",0.0368
"Annualised downside risk",0.5844
"Downside potential",0.0136
"Omega",1.1722
"Sortino ratio",0.0635
"Upside potential",0.0159
"Upside potential ratio",0.4615
"Omega-sharpe ratio",0.1722
