"","first_EW"
"Semi Deviation",0.0377
"Gain Deviation",0.0241
"Loss Deviation",0.0473
"Downside Deviation (MAR=0%)",0.0368
"Downside Deviation (Rf=0%)",0.0368
"Downside Deviation (0%)",0.0368
"Maximum Drawdown",0.6891
"Historical VaR (95%)",-0.0692
"Historical ES (95%)",-0.1163
"Modified VaR (95%)",-0.0788
"Modified ES (95%)",-0.2529
