"","Date","second_MVP_top4","second_MVP_bottom4","second_maxSR_top4","second_maxSR_bottom4","second_EW_top4","second_EW_bottom4","second_InvInef_top4","second_InvInef_bottom4","second_MVP_top8","second_MVP_bottom8","second_maxSR_top8","second_maxSR_bottom8","second_EW_top8","second_EW_bottom8","second_InvInef_top8","second_InvInef_bottom8"
"1",2021-01-01,-0.023942903969808,0.0681392014641691,-0.0342057413146493,0.0076360387826937,-0.020562359934424,0.0488750983789743,-0.00153998646152842,0.0781112466290439,-0.0674604323460838,0.0534109658586179,-0.0496241044498061,0.0220279449015945,-0.0307924651458068,0.0341644573669624,-0.053035787301281,0.0430118544398637
"2",2021-01-02,0.000984643191829893,0.279429666925433,0.0119082749057133,0.0844869074866421,-0.00352241559259514,0.176922276695602,-0.00975796904611603,0.228023934015798,0.00810517875171413,0.227254819022816,0.0491958618566788,0.0622973855137234,0.00984719873468465,0.0890567270779263,0.0184288482134678,0.103836718891964
"3",2021-01-03,0.082371844066502,-0.0281022165184752,0.144602903788593,0.0186144571871152,0.0807923897366916,-0.0272941079961754,0.078733211086774,-0.0357068530503362,0.0224572671866008,-0.0186995837384701,0.0999329657421759,0.0512882140791087,0.0797088421686916,0.0187275384907806,0.0644720320244923,0.0217997508207783
"4",2021-01-04,0.0372260623569471,-0.0133506103312195,0.0922011341604831,-0.0239505455072779,0.0365794089258791,0.00435224141471746,0.032056058634937,0.00745865333647666,-0.0055920985200999,0.0210570111048083,0.00959940559980965,-0.016742058856703,0.00246905336864223,0.0468100930504818,-0.00962475824043962,0.0344610715165541
"5",2021-01-05,0.0434819824500423,0.0392969222062378,0.138910578315629,0.0590762444676596,0.0572655105236095,0.0115494615618668,0.0520631432494221,0.00709474175652658,0.0273548182198438,0.0311339458510391,0.0667619558676211,0.062241163159577,0.0427171484183118,0.0279417669778568,0.0362829302144723,0.0263080581491764
"6",2021-01-06,0.0947527854327901,0.0672452150033254,0.250712014220302,0.0775138734488816,0.125084831257332,0.063100164544152,0.115029227236646,0.0655759925948785,0.0511006308747712,0.0673079899526399,0.132576071765,0.110900288588461,0.0941194649789623,0.151221653554126,0.0793286127412551,0.122091751365611
"7",2021-01-07,0.0355916150549289,0.00697590621276767,-0.101051231651386,0.0646505104636794,0.0419941319277104,0.0477844825614302,0.0688512211265624,0.0440057851883875,0.0243895555948583,0.0213155063468695,-0.0419315899649957,0.0100323010036194,0.0236111210333654,0.00970857701748384,0.0114458348628272,0.00645921624080725
"8",2021-01-08,-0.00784699761127838,0.0242490669708886,0.0184945821764566,0.03364545543618,5.06805767441776e-06,0.0065634580685352,-0.00272801166384495,0.00599073263677274,-0.0178915364226423,0.0283375355682325,0.0147838479542366,0.00269802009104958,-0.005635321841575,-0.00651582688588281,-0.00755357788806565,-0.00793731351491878
"9",2021-01-09,0.0597681283032605,0.00597269459683458,0.0858654245064907,-0.012284361193855,0.0438302736640768,0.0140638820166135,0.0232079824733464,0.0174723524360936,0.0542320184199301,0.0475970276067461,0.0517722820589428,0.0427863117628258,0.0733842392090869,0.0615075927444908,0.0876501669655645,0.0784566616043731
"10",2021-01-10,0.0714223742800804,-0.0395558976867568,-0.0881586359323323,-0.0445903193190935,0.0286094408833777,-0.0198246145860504,0.0190581098631846,-0.0244364153449664,0.128044259816007,-0.0397513589261427,-0.00445693439542383,-0.0574123462181245,0.0430297276909795,-0.0416947293914552,0.0732319322406101,-0.0438417989622308
"11",2021-01-11,-0.143051404812598,-0.0895568618884425,-0.101396226076685,-0.0758278716208763,-0.129602478256388,-0.0936949332592989,-0.138840160963142,-0.0972932847318138,-0.159908926088103,-0.0876327245718336,-0.152219894638499,-0.088855004807586,-0.158623738412851,-0.0914290088340286,-0.163458279429044,-0.0960695246102971
"12",2021-01-12,0.0558812117348999,-0.0638315914104824,0.0408945912352037,-0.0465648959306887,0.0694486350036903,-0.0431235426125267,0.0684818134613867,-0.0462414030856364,0.0233899377750881,-0.0384208776958492,-0.000581920352718313,-0.0457302361726948,0.029594477424449,-0.0157518668200465,0.016621670807053,-0.0235244793643
"13",2021-01-13,0.100570714596802,0.0823395554019082,0.0886360708241429,0.0928821918657257,0.0960064424059031,0.0612995791250821,0.0836227842330881,0.0607911156303647,0.0839002613464701,0.070572598292886,0.0931598599621708,0.107737795349345,0.0917728539318483,0.0690940416710246,0.0947656627455991,0.0755094866428867
"14",2021-01-14,-0.0229626564711832,0.0613208739782531,-0.0102565011868805,0.0469454008431833,-0.0259816627589298,0.0289646626696847,-0.0215527104707636,0.0324092583261428,-0.0229195906704683,0.040495395179232,-0.00734569528436257,0.0713876306179193,-0.00842095006938914,0.022689144842083,-0.0100084205124709,0.0379942301858913
"15",2021-01-15,-0.037344847773114,-0.0379607903136011,-0.0257805111326861,-0.0600906936941786,-0.036948462392342,-0.0301018960486201,-0.0339765366521941,-0.027942765919549,-0.0303914840241493,-0.0287662453795897,-0.037219602072307,0.0235859382074914,-0.0393417665203748,-0.0066081643095155,-0.040946820405436,0.0232829814372646
"16",2021-01-16,0.0550696166921487,-0.0131390901613012,0.152685612038856,-0.0149291555746894,0.0688721829574084,0.00211261008573627,0.0581647093326629,-0.00177936336630868,0.018376386997454,-0.00250083302542659,0.0640062791573095,-0.0181616069767189,0.0416823408950615,0.00621088966958228,0.0304721414457181,0.000106292124665952
