"","third_MVP_top8","third_MVP_bottom8","third_maxSR_top8","third_maxSR_bottom8","third_EW_top8","third_EW_bottom8","third_InvInef_top8","third_InvInef_bottom8"
"Annualized Return",-0.4972,-0.5792,-0.5491,-0.6556,-0.5514,-0.6497,-0.4966,-0.6055
"Annualized Std Dev",0.6058,0.5428,0.6405,0.7015,0.6258,0.6518,0.5788,0.6601
"Annualized Sharpe (Rf=2.76%)",-0.872,-1.1077,-0.9015,-0.9645,-0.9309,-1.0329,-0.9168,-0.9557
