"","third_MVP_top8","third_MVP_bottom8","third_maxSR_top8","third_maxSR_bottom8","third_EW_top8","third_EW_bottom8","third_InvInef_top8","third_InvInef_bottom8"
"daily  Std Dev",0.0382,0.0342,0.0403,0.0442,0.0394,0.0411,0.0365,0.0416
"Skewness",-0.7904,-0.4661,-0.5406,-0.8534,-0.7479,-0.8239,-0.9095,-0.8096
"Kurtosis",5.8575,6.704,5.0611,8.2016,5.5059,6.4754,6.468,6.8596
"Excess kurtosis",2.8575,3.704,2.0611,5.2016,2.5059,3.4754,3.468,3.8596
"Sample skewness",-0.7983,-0.4708,-0.546,-0.8619,-0.7554,-0.8321,-0.9186,-0.8176
"Sample excess kurtosis",2.9251,3.7857,2.1154,5.3081,2.5676,3.5533,3.5457,3.9438
