"","second_MVP_top8","second_MVP_bottom8","second_maxSR_top8","second_maxSR_bottom8","second_EW_top8","second_EW_bottom8","second_InvInef_top8","second_InvInef_bottom8"
"Annualized Return",0.2704,1.216,0.3106,-0.0534,0.5964,0.6253,0.2022,0.6948
"Annualized Std Dev",0.9987,1.183,0.9233,0.8136,0.9893,1.0058,0.933,1.0439
"Annualized Sharpe (Rf=1.43%)",0.2526,1.0012,0.3162,-0.0823,0.5799,0.5987,0.1984,0.6425
