"","second_MVP_top8","second_MVP_bottom8","second_maxSR_top8","second_maxSR_bottom8","second_EW_top8","second_EW_bottom8","second_InvInef_top8","second_InvInef_bottom8"
"daily downside risk",0.0457,0.0495,0.0412,0.0386,0.0447,0.046,0.044,0.0475
"Annualised downside risk",0.7247,0.7858,0.6538,0.6123,0.7102,0.7298,0.6983,0.7548
"Downside potential",0.0201,0.0224,0.0192,0.018,0.02,0.0204,0.0191,0.0213
"Omega",1.1509,1.267,1.1466,1.0639,1.1945,1.198,1.1342,1.2054
"Sortino ratio",0.0665,0.1209,0.0685,0.0298,0.0868,0.088,0.0584,0.0921
"Upside potential",0.0232,0.0284,0.0221,0.0192,0.0239,0.0245,0.0217,0.0257
"Upside potential ratio",0.5983,0.6982,0.6731,0.6097,0.6135,0.5887,0.5772,0.612
"Omega-sharpe ratio",0.1509,0.267,0.1466,0.0639,0.1945,0.198,0.1342,0.2054
