"From","Trough","To","Depth","Length","To Trough","Recovery","strategy"
2021-05-07,2021-07-20,NA,-0.7466,240,75,NA,"second_EW"
2021-04-17,2021-04-25,2021-05-03,-0.265,17,9,8,"second_EW"
2021-02-22,2021-02-28,2021-03-29,-0.2512,36,7,29,"second_EW"
2021-01-10,2021-01-21,2021-01-29,-0.165,20,12,8,"second_EW"
2021-02-14,2021-02-16,2021-02-19,-0.0998,6,3,3,"second_EW"
