"From","Trough","To","Depth","Length","To Trough","Recovery","strategy"
2021-05-07,2021-07-20,NA,-0.7382,240,75,NA,"second_MVP"
2021-02-22,2021-02-28,2021-03-31,-0.2684,38,7,31,"second_MVP"
2021-04-17,2021-04-25,2021-05-03,-0.2668,17,9,8,"second_MVP"
2021-01-10,2021-01-21,2021-01-29,-0.1646,20,12,8,"second_MVP"
2021-02-14,2021-02-16,2021-02-19,-0.1058,6,3,3,"second_MVP"
