"Strategy_name","Test_period","value","variable","KPI"
"second_MVP","2021",1.40378292811414,"Total Return","TotalReturn"
"second_MVP","2021",0.8322,"Annualized Return","AnnualizedReturns"
"second_MVP","2021",0.9434,"Annualized Std Dev","AnnualizedReturns"
"second_MVP","2021",0.8545,"Annualized Sharpe (Rf=1.43%)","AnnualizedReturns"
"second_MVP","2021",0.0594,"daily  Std Dev","Distributions"
"second_MVP","2021",-1.173,"Skewness","Distributions"
"second_MVP","2021",10.2444,"Kurtosis","Distributions"
"second_MVP","2021",7.2444,"Excess kurtosis","Distributions"
"second_MVP","2021",-1.1827,"Sample skewness","Distributions"
"second_MVP","2021",7.3613,"Sample excess kurtosis","Distributions"
"second_MVP","2021",0.0456,"Semi Deviation","DownsideRisk"
"second_MVP","2021",0.0348,"Gain Deviation","DownsideRisk"
"second_MVP","2021",0.0504,"Loss Deviation","DownsideRisk"
"second_MVP","2021",0.0437,"Downside Deviation (MAR=0%)","DownsideRisk"
"second_MVP","2021",0.0437,"Downside Deviation (Rf=0%)","DownsideRisk"
"second_MVP","2021",0.0437,"Downside Deviation (0%)","DownsideRisk"
"second_MVP","2021",0.7382,"Maximum Drawdown","DownsideRisk"
"second_MVP","2021",-0.0809,"Historical VaR (95%)","DownsideRisk"
"second_MVP","2021",-0.1413,"Historical ES (95%)","DownsideRisk"
"second_MVP","2021",-0.1029,"Modified VaR (95%)","DownsideRisk"
"second_MVP","2021",-0.2315,"Modified ES (95%)","DownsideRisk"
"second_MVP","2021",0.0437,"daily downside risk","DownsideRiskRatio"
"second_MVP","2021",0.6943,"Annualised downside risk","DownsideRiskRatio"
"second_MVP","2021",0.019,"Downside potential","DownsideRiskRatio"
"second_MVP","2021",1.2258,"Omega","DownsideRiskRatio"
"second_MVP","2021",0.0979,"Sortino ratio","DownsideRiskRatio"
"second_MVP","2021",0.0232,"Upside potential","DownsideRiskRatio"
"second_MVP","2021",0.5829,"Upside potential ratio","DownsideRiskRatio"
"second_MVP","2021",0.2258,"Omega-sharpe ratio","DownsideRiskRatio"
