"","Date","third_MVP_top4","third_MVP_bottom4","third_maxSR_top4","third_maxSR_bottom4","third_EW_top4","third_EW_bottom4","third_InvInef_top4","third_InvInef_bottom4","third_MVP_top8","third_MVP_bottom8","third_maxSR_top8","third_maxSR_bottom8","third_EW_top8","third_EW_bottom8","third_InvInef_top8","third_InvInef_bottom8"
"156",2022-06-05,-0.42170841629291,-0.685050787059482,-0.490839689134377,-0.733702639034833,-0.475313693876614,-0.691896552093303,-0.439060499963526,-0.722835584252801,-0.408770282971067,-0.435631658457015,-0.5442660851009,-0.625017137117472,-0.485933368916385,-0.614877624871617,-0.407927873424894,-0.605156513581224
"157",2022-06-06,-0.417938755992182,-0.677858617014397,-0.496888034824281,-0.726347762726336,-0.466130559666399,-0.684667200062196,-0.431350046032306,-0.715282201413537,-0.401840908506679,-0.409756792115319,-0.538336541619159,-0.617020950833608,-0.476361617001722,-0.605525669642034,-0.400047837556396,-0.596363878910568
"158",2022-06-07,-0.427693997296711,-0.683743584570076,-0.505580663306748,-0.732687633796781,-0.476647734184065,-0.689983180520358,-0.441284626042816,-0.718726000079685,-0.408588852306171,-0.414750335131939,-0.548387632468382,-0.625149532719602,-0.479773256076191,-0.613056241198945,-0.400917493499059,-0.604586244560685
"159",2022-06-08,-0.431639500035619,-0.689397871961526,-0.508518357842625,-0.738974674812189,-0.480701651964082,-0.695990745545623,-0.44536408347917,-0.725472839945315,-0.414823339535568,-0.432087620372451,-0.552559953479455,-0.632169120228695,-0.485756442385812,-0.619983440766237,-0.408332282776742,-0.611166743013616
"160",2022-06-09,-0.433592621384625,-0.688607541587315,-0.506309600930885,-0.739134980471085,-0.48291438446938,-0.695735989478575,-0.447984760134224,-0.725834319563522,-0.415565281599761,-0.433794622645837,-0.552339236681159,-0.632555227802744,-0.484149004247521,-0.620147835667227,-0.405863605196291,-0.611245250488612
"161",2022-06-10,-0.462356959190829,-0.71049182321958,-0.51294401232964,-0.75873846312793,-0.508008266464799,-0.716335486182657,-0.477815967069393,-0.744917687352554,-0.446259951917824,-0.45386913951719,-0.574323840593644,-0.650564148176872,-0.511930478008514,-0.639142908678269,-0.433319117686765,-0.630255457804581
"162",2022-06-11,-0.492681472917287,-0.732670626504917,-0.541989761202517,-0.779172008286737,-0.542490434773035,-0.738272531595258,-0.510166548738499,-0.765101088319212,-0.477240733119708,-0.468713087953583,-0.606046778826753,-0.670956802326244,-0.54585288036456,-0.659852723296509,-0.467057182182033,-0.65234155145875
"163",2022-06-12,-0.518619433496075,-0.75309386761188,-0.565599810160568,-0.795780940076648,-0.562550823815764,-0.757042098726114,-0.532923763212154,-0.779249148412429,-0.494785994782436,-0.500040476008904,-0.627561112886421,-0.69187037787373,-0.563724207760118,-0.681192553120873,-0.47987712727517,-0.675875180300607
"164",2022-06-13,-0.599988358473009,-0.7811811017389,-0.626420210641495,-0.8148905754412,-0.636611769131588,-0.783958061400606,-0.61394080812562,-0.797595588696098,-0.585755986546524,-0.586714222767757,-0.688861967538999,-0.73561690176647,-0.635713013185659,-0.725595855815799,-0.568560126175921,-0.724907089244932
"165",2022-06-14,-0.623526660977707,-0.775063696080842,-0.625230064469344,-0.811551175624515,-0.647545700345276,-0.77836369506649,-0.6348776664189,-0.793349687878151,-0.61668708696444,-0.590989971143713,-0.687395265432835,-0.730493679882352,-0.649107629906182,-0.71941328979046,-0.597712468211112,-0.718374984339781
"166",2022-06-15,-0.616866913742155,-0.757474857096422,-0.60851686585205,-0.790899632847453,-0.633074508565483,-0.758464819261864,-0.625934981347571,-0.773091522429401,-0.601970640253916,-0.584421931926706,-0.678276577379803,-0.716420035872529,-0.629096039799773,-0.70531568592963,-0.568428177143344,-0.701876323740855
