"","Date","second_MVP_top4","second_MVP_bottom4","second_maxSR_top4","second_maxSR_bottom4","second_EW_top4","second_EW_bottom4","second_InvInef_top4","second_InvInef_bottom4","second_MVP_top8","second_MVP_bottom8","second_maxSR_top8","second_maxSR_bottom8","second_EW_top8","second_EW_bottom8","second_InvInef_top8","second_InvInef_bottom8"
"1",2021-01-01,-0.023942903969808,0.0681392014641691,-0.0342057413146493,0.0076360387826937,-0.020562359934424,0.0488750983789743,-0.00153998646152842,0.0781112466290439,-0.0674604323460838,0.0534109658586179,-0.0496241044498061,0.0220279449015945,-0.0307924651458068,0.0341644573669624,-0.053035787301281,0.0430118544398637
"2",2021-01-02,-0.0229818359953646,0.3666089827593,-0.0227047977798644,0.0927680915715337,-0.0240123463497656,0.234444468753506,-0.0112829283674214,0.323946414392075,-0.0599020324572026,0.292803684261468,-0.00286954318040145,0.0856976137909278,-0.0212484859349438,0.126263759200384,-0.0355843275618702,0.151314783170322
"3",2021-01-03,0.0574969518601653,0.328204241229705,0.118614926319828,0.113109376427537,0.0548400285421433,0.200751408108067,0.0665619415385235,0.276672454326857,-0.0387900012185136,0.268628793510218,0.0967766606014318,0.141381105432214,0.0567666640220357,0.14735590710158,0.026593510556483,0.176413158559713
"4",2021-01-04,0.0968633993323933,0.310471903964774,0.221752491215361,0.0864497996528319,0.0934254532975722,0.205977368115215,0.100751713674275,0.28619471158791,-0.0441651822302048,0.295342324103042,0.10730506461895,0.122272035787139,0.0593758773137081,0.201063743875025,0.0167127962061726,0.216953616549855
"5",2021-01-05,0.144557194412258,0.361969416428338,0.391466836328648,0.150633173618963,0.156041020100167,0.219905757372743,0.158060307825345,0.295319930915237,-0.0180184945419146,0.335671441880226,0.181230916475033,0.192123552675997,0.104629393895697,0.234623587131933,0.0536021156390822,0.248969303058899
"6",2021-01-06,0.253007176669959,0.453555342664015,0.740324289585354,0.239823207824948,0.30064421602595,0.296882011391321,0.291271090127927,0.380261821112933,0.0321613798943512,0.425572801870328,0.337833871228664,0.324330398700867,0.208596521449195,0.42132540749495,0.137182909853982,0.401458152671247
"7",2021-01-07,0.297603725763059,0.463695208409507,0.564462376649931,0.319978411095547,0.355263640824758,0.358852847248882,0.380176681488662,0.441001326316561,0.0573353372521501,0.455959607976519,0.281736369899021,0.337616479888877,0.237132840197637,0.435124454680522,0.150198917649,0.410510473931793
"8",2021-01-08,0.287421432426611,0.499188451543197,0.593396454636858,0.364389685902782,0.355270509379053,0.36777162093311,0.376411543403394,0.449633979991759,0.0384179835547567,0.497217915153464,0.300685365509023,0.341225396025737,0.230161198482341,0.425773432174126,0.14151080053777,0.399314810084119
"9",2021-01-09,0.364368201780252,0.508142646307366,0.730214117621389,0.347629030191982,0.41467238669399,0.387007799635585,0.408355278378811,0.474962495793512,0.0947334867664849,0.568481037594338,0.368024815122096,0.398611483964313,0.320435642137506,0.513469323786207,0.2415644127979,0.509100378616877
"10",2021-01-10,0.461814618143641,0.448486710092997,0.577680801141024,0.287537821412041,0.455145372710458,0.359510904579964,0.435195868000551,0.438919699628053,0.234907825775295,0.506131784900077,0.361927618269784,0.318313917222309,0.377253628252147,0.450365629888673,0.332486573748269,0.442938703203729
"11",2021-01-11,0.252699983442602,0.318764785849954,0.417709921951684,0.189906568782986,0.266554926183867,0.232131621110055,0.235933042673718,0.298922475585925,0.0374350415377738,0.374145353025044,0.154615139711496,0.201175127769613,0.158788508996128,0.31776013790101,0.114680611041075,0.304316267945148
"12",2021-01-12,0.322702376457663,0.234585930873048,0.47568658969999,0.134498693240364,0.354515436964537,0.178997740642874,0.320571978752864,0.238858477815364,0.0617005826050383,0.321349482480149,0.153943245662141,0.146245105491942,0.193082249365325,0.297002955708027,0.133208465212804,0.273632906815352
"13",2021-01-13,0.455727499656899,0.336241187526585,0.606485650778876,0.23987341853733,0.484557645251379,0.251269805933705,0.431001884396377,0.314170066789895,0.150777538957301,0.414600548711734,0.261444436832319,0.269739026087621,0.30257481236501,0.386618131977159,0.240597716447619,0.369804273780467
"14",2021-01-14,0.422300129166623,0.418180664991454,0.590008728794956,0.298079773165373,0.445986369166267,0.287512413771337,0.400159915098864,0.356761343968973,0.12440218881163,0.471885356952574,0.252178250381195,0.360382686663121,0.29160589490844,0.418079311614248,0.2281812928146,0.421848932668099
"15",2021-01-15,0.369184547355215,0.36434540614091,0.54901749106119,0.220077259125484,0.392559396185288,0.248755848930684,0.352587330424575,0.318849679325755,0.0902299376536433,0.429544741603851,0.205572674178409,0.392468588649298,0.240791837354613,0.408708410519176,0.177891173992404,0.454953814974005
"16",2021-01-16,0.44458501555888,0.346419148838468,0.785530174742761,0.201862535910859,0.488468001698419,0.251393983131757,0.431260179345763,0.316502966520695,0.110264424904177,0.425969688902723,0.282736895306297,0.367179121414823,0.292510945699037,0.417457743033523,0.213784040453963,0.45510846510629
"17",2021-01-17,0.42481633361661,0.328777709571243,0.919696990760078,0.192428433609926,0.491455877017667,0.250886896524,0.436016949240569,0.307647804194383,0.128290386507052,0.405331773331371,0.329454709076866,0.444578500541362,0.304566450528675,0.451554608028782,0.225807067959183,0.513406008617023
"18",2021-01-18,0.445850344348929,0.351543733096287,0.876257302083202,0.217609021579109,0.509609476986208,0.264010326897651,0.460542878719231,0.324804624467106,0.147435365034325,0.4223061326648,0.335763486488188,0.425492768124682,0.338735222043543,0.452803476098284,0.257257810242187,0.498275769535705
