"Strategy_name","Test_period","value","variable","KPI"
"second_MVP_top8","2021",0.41441793931866,"Total Return","TotalReturn"
"second_MVP_top8","2021",0.2705,"Annualized Return","AnnualizedReturns"
"second_MVP_top8","2021",0.9986,"Annualized Std Dev","AnnualizedReturns"
"second_MVP_top8","2021",0.2527,"Annualized Sharpe (Rf=1.43%)","AnnualizedReturns"
"second_MVP_top8","2021",0.0629,"daily  Std Dev","Distributions"
"second_MVP_top8","2021",-0.8443,"Skewness","Distributions"
"second_MVP_top8","2021",10.4722,"Kurtosis","Distributions"
"second_MVP_top8","2021",7.4722,"Excess kurtosis","Distributions"
"second_MVP_top8","2021",-0.8513,"Sample skewness","Distributions"
"second_MVP_top8","2021",7.5922,"Sample excess kurtosis","Distributions"
"second_MVP_top8","2021",0.047,"Semi Deviation","DownsideRisk"
"second_MVP_top8","2021",0.0405,"Gain Deviation","DownsideRisk"
"second_MVP_top8","2021",0.0516,"Loss Deviation","DownsideRisk"
"second_MVP_top8","2021",0.0456,"Downside Deviation (MAR=0%)","DownsideRisk"
"second_MVP_top8","2021",0.0456,"Downside Deviation (Rf=0%)","DownsideRisk"
"second_MVP_top8","2021",0.0456,"Downside Deviation (0%)","DownsideRisk"
"second_MVP_top8","2021",0.7843,"Maximum Drawdown","DownsideRisk"
"second_MVP_top8","2021",-0.0916,"Historical VaR (95%)","DownsideRisk"
"second_MVP_top8","2021",-0.1491,"Historical ES (95%)","DownsideRisk"
"second_MVP_top8","2021",-0.1051,"Modified VaR (95%)","DownsideRisk"
"second_MVP_top8","2021",-0.232,"Modified ES (95%)","DownsideRisk"
"second_MVP_top8","2021",0.0456,"daily downside risk","DownsideRiskRatio"
"second_MVP_top8","2021",0.7246,"Annualised downside risk","DownsideRiskRatio"
"second_MVP_top8","2021",0.0201,"Downside potential","DownsideRiskRatio"
"second_MVP_top8","2021",1.1509,"Omega","DownsideRiskRatio"
"second_MVP_top8","2021",0.0666,"Sortino ratio","DownsideRiskRatio"
"second_MVP_top8","2021",0.0232,"Upside potential","DownsideRiskRatio"
"second_MVP_top8","2021",0.5983,"Upside potential ratio","DownsideRiskRatio"
"second_MVP_top8","2021",0.1509,"Omega-sharpe ratio","DownsideRiskRatio"
"second_MVP_bottom8","2021",2.16554564906703,"Total Return","TotalReturn"
"second_MVP_bottom8","2021",1.2157,"Annualized Return","AnnualizedReturns"
"second_MVP_bottom8","2021",1.1828,"Annualized Std Dev","AnnualizedReturns"
"second_MVP_bottom8","2021",1.0012,"Annualized Sharpe (Rf=1.43%)","AnnualizedReturns"
