"","From","Trough","To","Depth","Length","To Trough","Recovery","strategy"
"1",2020-02-15,2020-03-16,NA,-0.6891,322,31,NA,"first_EW"
"2",2020-01-18,2020-01-25,2020-01-29,-0.1091,12,8,4,"first_EW"
"3",2020-01-08,2020-01-09,2020-01-11,-0.0303,4,2,2,"first_EW"
"4",2020-01-31,2020-01-31,2020-02-02,-0.0271,3,1,2,"first_EW"
"5",2020-01-02,2020-01-02,2020-01-03,-0.0234,2,1,1,"first_EW"
