"","second_MVP_top4","second_MVP_bottom4","second_maxSR_top4","second_maxSR_bottom4","second_EW_top4","second_EW_bottom4","second_InvInef_top4","second_InvInef_bottom4"
"Annualized Return",1.0429,0.4005,1.2457,0.0827,1.2777,0.2651,1.5153,0.3906
"Annualized Std Dev",1.073,1.3092,1.0608,0.678,1.0593,1.1527,1.1289,1.2849
"Annualized Sharpe (Rf=1.43%)",0.9448,0.2906,1.1442,0.0992,1.1756,0.2143,1.3106,0.2885
