"","third_MVP_top4","third_MVP_bottom4","third_maxSR_top4","third_maxSR_bottom4","third_EW_top4","third_EW_bottom4","third_InvInef_top4","third_InvInef_bottom4"
"daily downside risk",0.0331,0.0388,0.0291,0.0402,0.0338,0.0376,0.0338,0.038
"Annualised downside risk",0.5249,0.6152,0.4622,0.6386,0.5372,0.5975,0.537,0.6036
"Downside potential",0.0164,0.0194,0.0141,0.0202,0.0166,0.0189,0.0169,0.0192
"Omega",0.9018,0.8443,0.8953,0.8299,0.8779,0.8416,0.8903,0.821
"Sortino ratio",-0.0488,-0.078,-0.0508,-0.0855,-0.0599,-0.0794,-0.0547,-0.0904
"Upside potential",0.0148,0.0164,0.0127,0.0168,0.0146,0.0159,0.015,0.0158
"Upside potential ratio",0.6275,0.6286,0.6207,0.5957,0.6214,0.6028,0.6335,0.5981
"Omega-sharpe ratio",-0.0982,-0.1557,-0.1047,-0.1701,-0.1221,-0.1584,-0.1097,-0.179
