"From","Trough","To","Depth","Length","To Trough","Recovery","strategy"
2020-02-19,2020-03-16,2020-07-15,-0.7363,148,27,121,"first_maxSR"
2020-08-16,2020-09-23,NA,-0.6239,139,39,NA,"first_maxSR"
2020-07-16,2020-07-27,2020-08-03,-0.1683,19,12,7,"first_maxSR"
2020-01-19,2020-01-25,2020-01-30,-0.106,12,7,5,"first_maxSR"
2020-08-10,2020-08-11,2020-08-12,-0.0543,3,2,1,"first_maxSR"
