"Strategy_name","Test_period","value","variable","KPI"
"first_maxSR","2020",1.1787814668323,"Total Return","TotalReturn"
"first_maxSR","2020",0.7095,"Annualized Return","AnnualizedReturns"
"first_maxSR","2020",1.0416,"Annualized Std Dev","AnnualizedReturns"
"first_maxSR","2020",0.6666,"Annualized Sharpe (Rf=0.89%)","AnnualizedReturns"
"first_maxSR","2020",0.0656,"daily  Std Dev","Distributions"
"first_maxSR","2020",-2.0043,"Skewness","Distributions"
"first_maxSR","2020",24.112,"Kurtosis","Distributions"
"first_maxSR","2020",21.112,"Excess kurtosis","Distributions"
"first_maxSR","2020",-2.0209,"Sample skewness","Distributions"
"first_maxSR","2020",21.4199,"Sample excess kurtosis","Distributions"
"first_maxSR","2020",0.05,"Semi Deviation","DownsideRisk"
"first_maxSR","2020",0.0421,"Gain Deviation","DownsideRisk"
"first_maxSR","2020",0.0577,"Loss Deviation","DownsideRisk"
"first_maxSR","2020",0.0481,"Downside Deviation (MAR=0%)","DownsideRisk"
"first_maxSR","2020",0.0481,"Downside Deviation (Rf=0%)","DownsideRisk"
"first_maxSR","2020",0.0481,"Downside Deviation (0%)","DownsideRisk"
"first_maxSR","2020",0.7363,"Maximum Drawdown","DownsideRisk"
"first_maxSR","2020",-0.0879,"Historical VaR (95%)","DownsideRisk"
"first_maxSR","2020",-0.1489,"Historical ES (95%)","DownsideRisk"
"first_maxSR","2020",-0.1076,"Modified VaR (95%)","DownsideRisk"
"first_maxSR","2020",-0.3496,"Modified ES (95%)","DownsideRisk"
"first_maxSR","2020",0.0481,"daily downside risk","DownsideRiskRatio"
"first_maxSR","2020",0.7632,"Annualised downside risk","DownsideRiskRatio"
"first_maxSR","2020",0.0192,"Downside potential","DownsideRiskRatio"
"first_maxSR","2020",1.2424,"Omega","DownsideRiskRatio"
"first_maxSR","2020",0.0969,"Sortino ratio","DownsideRiskRatio"
"first_maxSR","2020",0.0239,"Upside potential","DownsideRiskRatio"
"first_maxSR","2020",0.607,"Upside potential ratio","DownsideRiskRatio"
"first_maxSR","2020",0.2424,"Omega-sharpe ratio","DownsideRiskRatio"
