"Strategy_name","Test_period","value","variable","KPI"
"third_maxSR","2022",-0.681437401832683,"Total Return","TotalReturn"
"third_maxSR","2022",-0.6126,"Annualized Return","AnnualizedReturns"
"third_maxSR","2022",0.6574,"Annualized Std Dev","AnnualizedReturns"
"third_maxSR","2022",-0.9682,"Annualized Sharpe (Rf=2.76%)","AnnualizedReturns"
"third_maxSR","2022",0.0414,"daily  Std Dev","Distributions"
"third_maxSR","2022",-0.7521,"Skewness","Distributions"
"third_maxSR","2022",5.3657,"Kurtosis","Distributions"
"third_maxSR","2022",2.3657,"Excess kurtosis","Distributions"
"third_maxSR","2022",-0.7595,"Sample skewness","Distributions"
"third_maxSR","2022",2.4251,"Sample excess kurtosis","Distributions"
"third_maxSR","2022",0.0316,"Semi Deviation","DownsideRisk"
"third_maxSR","2022",0.0225,"Gain Deviation","DownsideRisk"
"third_maxSR","2022",0.033,"Loss Deviation","DownsideRisk"
"third_maxSR","2022",0.033,"Downside Deviation (MAR=0%)","DownsideRisk"
"third_maxSR","2022",0.033,"Downside Deviation (Rf=0%)","DownsideRisk"
"third_maxSR","2022",0.033,"Downside Deviation (0%)","DownsideRisk"
"third_maxSR","2022",0.7647,"Maximum Drawdown","DownsideRisk"
"third_maxSR","2022",-0.0714,"Historical VaR (95%)","DownsideRisk"
"third_maxSR","2022",-0.1061,"Historical ES (95%)","DownsideRisk"
"third_maxSR","2022",-0.0773,"Modified VaR (95%)","DownsideRisk"
"third_maxSR","2022",-0.1208,"Modified ES (95%)","DownsideRisk"
"third_maxSR","2022",0.033,"daily downside risk","DownsideRiskRatio"
"third_maxSR","2022",0.5238,"Annualised downside risk","DownsideRiskRatio"
"third_maxSR","2022",0.0166,"Downside potential","DownsideRiskRatio"
"third_maxSR","2022",0.8262,"Omega","DownsideRiskRatio"
"third_maxSR","2022",-0.0872,"Sortino ratio","DownsideRiskRatio"
"third_maxSR","2022",0.0137,"Upside potential","DownsideRiskRatio"
"third_maxSR","2022",0.6037,"Upside potential ratio","DownsideRiskRatio"
"third_maxSR","2022",-0.1738,"Omega-sharpe ratio","DownsideRiskRatio"
