"","From","Trough","To","Depth","Length","To Trough","Recovery","strategy"
"1",2021-05-07,2021-07-20,NA,-0.7498,240,75,NA,"second_InvInef_all"
"2",2021-04-17,2021-04-25,2021-05-01,-0.2423,15,9,6,"second_InvInef_all"
"3",2021-02-22,2021-02-28,2021-03-17,-0.2362,24,7,17,"second_InvInef_all"
"4",2021-01-11,2021-01-27,2021-02-03,-0.1612,24,17,7,"second_InvInef_all"
"5",2021-03-18,2021-03-25,2021-03-30,-0.1487,13,8,5,"second_InvInef_all"
