"","third_MVP_top4","third_MVP_bottom4","third_maxSR_top4","third_maxSR_bottom4","third_EW_top4","third_EW_bottom4","third_InvInef_top4","third_InvInef_bottom4"
"Annualized Return",-0.4758,-0.6682,-0.425,-0.7081,-0.533,-0.6553,-0.5126,-0.6917
"Annualized Std Dev",0.6836,0.8123,0.5931,0.8384,0.7001,0.7741,0.7028,0.7712
"Annualized Sharpe (Rf=0%)",-0.6961,-0.8226,-0.7166,-0.8446,-0.7613,-0.8465,-0.7293,-0.8969
