Strategy_name,Cum Ret.,Ann Ret.,Ann Vol.,SR,VaR (95%)
MVP_index_0.4,0.9921524038556764,0.6073,0.6517,0.9319,-0.0571
maxSR_index_0.4,1.1172626073911576,0.6761,0.8786,0.7695,-0.0735
MVP_more4_0.4,0.8074322542526382,0.5031,0.8249,0.6099,-0.0769
MVP_less4_0.4,0.927713597242505,0.5713,0.653,0.8749,-0.0525
maxSR_more4_0.4,-0.012291379320218843,-0.0085,0.7955,-0.0107,-0.082
maxSR_less4_0.4,0.9753726220147039,0.5979,0.6886,0.8684,-0.0565
MVP_more8_0.4,1.1002630592850675,0.6668,0.7821,0.8526,-0.0772
MVP_less8_0.4,0.8551759600667483,0.5303,0.6688,0.793,-0.0584
maxSR_more8_0.4,0.542944718476623,0.348,0.7947,0.4379,-0.0712
maxSR_less8_0.4,1.117262608272659,0.6761,0.8786,0.7695,-0.0735
MVP_index_0.5,1.0747623150876255,0.6529,0.6367,1.0254,-0.0554
maxSR_index_0.5,0.9325701013813061,0.574,0.9457,0.607,-0.0829
MVP_more4_0.5,0.8084283126435639,0.5037,0.8158,0.6174,-0.0751
MVP_less4_0.5,1.091141009346944,0.6618,0.6471,1.0228,-0.0512
maxSR_more4_0.5,0.14672674147876497,0.0989,0.815,0.1213,-0.0723
maxSR_less4_0.5,1.1993247659356152,0.7206,0.6869,1.049,-0.054
MVP_more8_0.5,1.1002630592850675,0.6668,0.7821,0.8526,-0.0772
MVP_less8_0.5,1.029473946862204,0.628,0.6529,0.9618,-0.0562
maxSR_more8_0.5,0.14672676470359902,0.0989,0.815,0.1213,-0.0723
maxSR_less8_0.5,0.9325701030604372,0.574,0.9457,0.607,-0.0829
MVP_index_0.6,1.226618318500614,0.7353,0.6263,1.174,-0.0505
maxSR_index_0.6,1.0105607185027345,0.6175,0.9775,0.6317,-0.0834
MVP_more4_0.6,0.7948703580930838,0.4959,0.808,0.6138,-0.0763
MVP_less4_0.6,1.2545684214513795,0.7502,0.6435,1.1659,-0.0509
maxSR_more4_0.6,0.02839776203385913,0.0195,0.8151,0.0239,-0.0706
maxSR_less4_0.6,1.0679831922271834,0.6492,0.7056,0.9199,-0.0569
MVP_more8_0.6,1.1002630592850675,0.6668,0.7821,0.8526,-0.0772
MVP_less8_0.6,1.2037719336576589,0.723,0.6404,1.129,-0.0534
maxSR_more8_0.6,0.02839794147332375,0.0195,0.8151,0.0239,-0.0706
maxSR_less8_0.6,1.010560709921454,0.6175,0.9775,0.6317,-0.0834
