"","first_MVP_top8","first_MVP_bottom8","first_maxSR_top8","first_maxSR_bottom8","first_EW_top8","first_EW_bottom8","first_InvInef_top8","first_InvInef_bottom8"
"Annualized Return",0.6668,0.9494,-0.3332,0.7095,0.4027,0.2447,0.2599,0.1686
"Annualized Std Dev",0.7821,0.6262,0.8488,1.0416,0.7876,0.715,0.8441,0.7038
"Annualized Sharpe (Rf=0%)",0.8526,1.5162,-0.3926,0.6812,0.5113,0.3423,0.3079,0.2396
