"","second_MVP_top8","second_MVP_bottom8","second_maxSR_top8","second_maxSR_bottom8","second_EW_top8","second_EW_bottom8","second_InvInef_top8","second_InvInef_bottom8"
"daily  Std Dev",0.0629,0.0745,0.0582,0.0513,0.0623,0.0634,0.0588,0.0658
"Skewness",-0.8441,0.0952,-0.5967,-0.9965,-0.7197,-0.9204,-1.1625,-0.8933
"Kurtosis",10.4719,10.8437,7.6428,8.1458,8.7275,9.5273,11.0926,9.1923
"Excess kurtosis",7.4719,7.8437,4.6428,5.1458,5.7275,6.5273,8.0926,6.1923
"Sample skewness",-0.8511,0.096,-0.6016,-1.0047,-0.7257,-0.928,-1.1721,-0.9007
"Sample excess kurtosis",7.5919,7.9689,4.7237,5.2336,5.8233,6.6342,8.2212,6.2946
