"","third_MVP_top8","third_MVP_bottom8","third_maxSR_top8","third_maxSR_bottom8","third_EW_top8","third_EW_bottom8","third_InvInef_top8","third_InvInef_bottom8"
"Annualized Return",-0.4972,-0.5792,-0.5491,-0.6556,-0.5514,-0.6497,-0.4966,-0.6055
"Annualized Std Dev",0.6058,0.5428,0.6405,0.7015,0.6258,0.6518,0.5788,0.6601
"Annualized Sharpe (Rf=0%)",-0.8207,-1.067,-0.8573,-0.9347,-0.881,-0.9968,-0.8581,-0.9173
