"","Date","EW","InvInef","MVP","maxSR"
"1",2020-01-01,0.0172420262703141,0.0281351767433045,0.0164255697076618,0.0174972881373123
"2",2020-01-02,-0.00657490609112554,0.0199187230359759,-0.00771551577828034,-0.00714495563793272
"3",2020-01-03,0.0252528653150947,0.0223789473410663,0.0249557074806979,0.0250280642865253
"4",2020-01-04,0.0457703209971487,0.0361114796274586,0.0449017002939489,0.0453586443239782
"5",2020-01-05,0.0618312464148194,0.0533266600606219,0.0601641587386368,0.0597637365574493
"6",2020-01-06,0.123239038854438,0.117209790856266,0.12092680211443,0.121640224425559
"7",2020-01-07,0.128046883358911,0.136314118058917,0.128161242281569,0.130790972783774
"8",2020-01-08,0.106577651658226,0.108423311391414,0.107182122186023,0.112325556080651
"9",2020-01-09,0.0938917411932465,0.0921634642501761,0.0937229629244078,0.100553468414783
"10",2020-01-10,0.127940802466868,0.127566377462746,0.128023594357772,0.133734870915257
"11",2020-01-11,0.131516159881963,0.128783427143281,0.130520828604935,0.138789985889729
"12",2020-01-12,0.155808378047449,0.159257758938384,0.154659734768124,0.16102189310105
"13",2020-01-13,0.141777606864168,0.13818834942034,0.140995574149586,0.145989749415137
"14",2020-01-14,0.274593559260847,0.276802296921059,0.27170886445852,0.277522112322286
"15",2020-01-15,0.300991737763551,0.274265099816564,0.296643947140739,0.302878709383613
"16",2020-01-16,0.300389142110052,0.289128698762445,0.29549516513703,0.304501075614303
"17",2020-01-17,0.39627007995702,0.392765092698845,0.387980280733137,0.401973859898926
"18",2020-01-18,0.346522198143378,0.342039458030117,0.340814599264972,0.356088949462482
"19",2020-01-19,0.313045718724696,0.312692020059423,0.307360031706824,0.320005440240864
"20",2020-01-20,0.326222953068648,0.335209406798804,0.319542651919981,0.334707794466045
"21",2020-01-21,0.342431798549231,0.356016166422153,0.335545813736905,0.349270484469753
"22",2020-01-22,0.339025985201701,0.352950477712498,0.331860875031426,0.34547886589002
"23",2020-01-23,0.257175879503395,0.244145934581411,0.252183222575276,0.262260122629432
"24",2020-01-24,0.25892224042918,0.247775992933171,0.254109483835278,0.265015043486807
"25",2020-01-25,0.243977281885148,0.233362185772453,0.239375290423686,0.24970377886014
"26",2020-01-26,0.307145125397466,0.303519255517621,0.300939658550359,0.312684593042236
"27",2020-01-27,0.361823606338275,0.3725009861742,0.354999513518577,0.365724101694108
"28",2020-01-28,0.388934822029067,0.362492174896596,0.383765869794723,0.392845863987365
"29",2020-01-29,0.417896422176194,0.397436918347038,0.410990547226413,0.423859680097059
"30",2020-01-30,0.463868548188813,0.43667839192971,0.455971789296573,0.470769807246492
"31",2020-01-31,0.424181571848658,0.399075682529942,0.417171874717776,0.430550910330311
"32",2020-02-01,0.452196324164922,0.443749486555295,0.444076001882461,0.457713184087441
"33",2020-02-02,0.466880662165543,0.456947633938132,0.457692200732996,0.471387727252565
"34",2020-02-03,0.465220089758079,0.441369060455587,0.455764583100176,0.46814188382071
"35",2020-02-04,0.467762033549246,0.450650336162372,0.457401920867374,0.469727145068064
"36",2020-02-05,0.555286011648339,0.53552880955563,0.543450769018501,0.555840909123003
"37",2020-02-06,0.59020709570889,0.575358238989041,0.577419143143415,0.589836048400352
"38",2020-02-07,0.604367186715207,0.564933977789324,0.591323252064246,0.614300987110655
"39",2020-02-08,0.631389909620593,0.5881963707555,0.617467564697552,0.642655867307102
"40",2020-02-09,0.68942163869825,0.639406120878828,0.674301012155571,0.69967243620194
"41",2020-02-10,0.676364914257385,0.625885830295401,0.660091081192564,0.685343805967622
"42",2020-02-11,0.752017753530851,0.71799859593566,0.734328908826493,0.771557595928097
"43",2020-02-12,0.817419587318256,0.791785604036608,0.797262863044158,0.83502694497819
"44",2020-02-13,0.796591295937529,0.770624896836944,0.776707089119128,0.810845408103338
"45",2020-02-14,0.867209988587389,0.840683675519545,0.844460962739047,0.891528582857012
"46",2020-02-15,0.711670428882489,0.684812792371417,0.693742979899822,0.74079345871671
"47",2020-02-16,0.663101992464607,0.640185752722498,0.647910191704804,0.699868267544032
"48",2020-02-17,0.628746133658956,0.599217425845431,0.613580000923593,0.661778296873379
"49",2020-02-18,0.702921950444664,0.667376543652088,0.687067424670597,0.738462383674387
"50",2020-02-19,0.574005894614957,0.544022762498709,0.5610321182851,0.612211925183517
"51",2020-02-20,0.559895119228768,0.534077770692041,0.547456706057638,0.595300587204301
"52",2020-02-21,0.579643993293711,0.544793763213404,0.566747892468658,0.614591925370652
"53",2020-02-22,0.557343821167434,0.52391615324971,0.545403845890586,0.588245758171234
"54",2020-02-23,0.629496946962053,0.596228010964044,0.61570862772096,0.660443292579611
"55",2020-02-24,0.546331631663123,0.518225262967164,0.534804126421197,0.572327220319514
"56",2020-02-25,0.45840210214664,0.435723831384713,0.449133835447836,0.477644582745499
"57",2020-02-26,0.328519679037913,0.317695447898241,0.322091377324045,0.356589625204584
"58",2020-02-27,0.344670176236026,0.320999708316922,0.337188769624622,0.38070008686418
"59",2020-02-28,0.313771299038796,0.269449889862181,0.307067907366895,0.356695140458515
"60",2020-02-29,0.292988819536096,0.248169355100098,0.286826288586474,0.335638443292825
"61",2020-03-01,0.282121132306755,0.237253767616551,0.276249388899267,0.319135017707316
"62",2020-03-02,0.352418755222589,0.301149429788496,0.345084961687587,0.394411828355495
"63",2020-03-03,0.355620867013763,0.300495942150889,0.347567844804507,0.406427253083613
"64",2020-03-04,0.352883055647176,0.300020907139873,0.344745348722046,0.405369791629913
"65",2020-03-05,0.40288919225892,0.350265819783746,0.394410316274002,0.45492919319913
