"Strategy_name","Test_period","value","variable","KPI"
"first_maxSR","2020",0.548975552347828,"Total Return","TotalReturn"
"first_maxSR","2020",0.3516,"Annualized Return","AnnualizedReturns"
"first_maxSR","2020",0.7506,"Annualized Std Dev","AnnualizedReturns"
"first_maxSR","2020",0.4525,"Annualized Sharpe (Rf=0.89%)","AnnualizedReturns"
"first_maxSR","2020",0.0473,"daily  Std Dev","Distributions"
"first_maxSR","2020",-3.1298,"Skewness","Distributions"
"first_maxSR","2020",32.2322,"Kurtosis","Distributions"
"first_maxSR","2020",29.2322,"Excess kurtosis","Distributions"
"first_maxSR","2020",-3.1556,"Sample skewness","Distributions"
"first_maxSR","2020",29.6521,"Sample excess kurtosis","Distributions"
"first_maxSR","2020",0.0386,"Semi Deviation","DownsideRisk"
"first_maxSR","2020",0.0247,"Gain Deviation","DownsideRisk"
"first_maxSR","2020",0.0478,"Loss Deviation","DownsideRisk"
"first_maxSR","2020",0.0376,"Downside Deviation (MAR=0%)","DownsideRisk"
"first_maxSR","2020",0.0376,"Downside Deviation (Rf=0%)","DownsideRisk"
"first_maxSR","2020",0.0376,"Downside Deviation (0%)","DownsideRisk"
"first_maxSR","2020",0.6919,"Maximum Drawdown","DownsideRisk"
"first_maxSR","2020",-0.0715,"Historical VaR (95%)","DownsideRisk"
"first_maxSR","2020",-0.1178,"Historical ES (95%)","DownsideRisk"
"first_maxSR","2020",-0.0807,"Modified VaR (95%)","DownsideRisk"
"first_maxSR","2020",-0.2592,"Modified ES (95%)","DownsideRisk"
"first_maxSR","2020",0.0376,"daily downside risk","DownsideRiskRatio"
"first_maxSR","2020",0.597,"Annualised downside risk","DownsideRiskRatio"
"first_maxSR","2020",0.0141,"Downside potential","DownsideRiskRatio"
"first_maxSR","2020",1.1765,"Omega","DownsideRiskRatio"
"first_maxSR","2020",0.066,"Sortino ratio","DownsideRiskRatio"
"first_maxSR","2020",0.0165,"Upside potential","DownsideRiskRatio"
"first_maxSR","2020",0.4808,"Upside potential ratio","DownsideRiskRatio"
"first_maxSR","2020",0.1765,"Omega-sharpe ratio","DownsideRiskRatio"
