"Strategy_name","Test_period","value","variable","KPI"
"third_maxSR","2022",-0.687117174007582,"Total Return","TotalReturn"
"third_maxSR","2022",-0.6183,"Annualized Return","AnnualizedReturns"
"third_maxSR","2022",0.63,"Annualized Std Dev","AnnualizedReturns"
"third_maxSR","2022",-1.0228,"Annualized Sharpe (Rf=2.76%)","AnnualizedReturns"
"third_maxSR","2022",0.0397,"daily  Std Dev","Distributions"
"third_maxSR","2022",-0.8414,"Skewness","Distributions"
"third_maxSR","2022",5.5715,"Kurtosis","Distributions"
"third_maxSR","2022",2.5715,"Excess kurtosis","Distributions"
"third_maxSR","2022",-0.8498,"Sample skewness","Distributions"
"third_maxSR","2022",2.6343,"Sample excess kurtosis","Distributions"
"third_maxSR","2022",0.0306,"Semi Deviation","DownsideRisk"
"third_maxSR","2022",0.0212,"Gain Deviation","DownsideRisk"
"third_maxSR","2022",0.0325,"Loss Deviation","DownsideRisk"
"third_maxSR","2022",0.0321,"Downside Deviation (MAR=0%)","DownsideRisk"
"third_maxSR","2022",0.0321,"Downside Deviation (Rf=0%)","DownsideRisk"
"third_maxSR","2022",0.0321,"Downside Deviation (0%)","DownsideRisk"
"third_maxSR","2022",0.7376,"Maximum Drawdown","DownsideRisk"
"third_maxSR","2022",-0.0729,"Historical VaR (95%)","DownsideRisk"
"third_maxSR","2022",-0.1039,"Historical ES (95%)","DownsideRisk"
"third_maxSR","2022",-0.0751,"Modified VaR (95%)","DownsideRisk"
"third_maxSR","2022",-0.1185,"Modified ES (95%)","DownsideRisk"
"third_maxSR","2022",0.0321,"daily downside risk","DownsideRiskRatio"
"third_maxSR","2022",0.5089,"Annualised downside risk","DownsideRiskRatio"
"third_maxSR","2022",0.0159,"Downside potential","DownsideRiskRatio"
"third_maxSR","2022",0.8107,"Omega","DownsideRiskRatio"
"third_maxSR","2022",-0.0938,"Sortino ratio","DownsideRiskRatio"
"third_maxSR","2022",0.0129,"Upside potential","DownsideRiskRatio"
"third_maxSR","2022",0.5462,"Upside potential ratio","DownsideRiskRatio"
"third_maxSR","2022",-0.1893,"Omega-sharpe ratio","DownsideRiskRatio"
