"","first_InvInef_all"
"Semi Deviation",0.0384
"Gain Deviation",0.0252
"Loss Deviation",0.0465
"Downside Deviation (MAR=0%)",0.0374
"Downside Deviation (Rf=0%)",0.0374
"Downside Deviation (0%)",0.0374
"Maximum Drawdown",0.702
"Historical VaR (95%)",-0.0728
"Historical ES (95%)",-0.1189
"Modified VaR (95%)",-0.0829
"Modified ES (95%)",-0.276
