"","third_InvInef_all"
"daily downside risk",0.0315
"Annualised downside risk",0.4993
"Downside potential",0.0155
"Omega",0.8226
"Sortino ratio",-0.0877
"Upside potential",0.0128
"Upside potential ratio",0.5635
"Omega-sharpe ratio",-0.1774
