"","first_MVP_top8","first_MVP_bottom8","first_maxSR_top8","first_maxSR_bottom8","first_EW_top8","first_EW_bottom8","first_InvInef_top8","first_InvInef_bottom8"
"daily downside risk",0.0386,0.0304,0.042,0.0481,0.039,0.0354,0.0402,0.0351
"Annualised downside risk",0.6133,0.483,0.6661,0.7632,0.6186,0.5623,0.6379,0.5579
"Downside potential",0.0143,0.0099,0.0159,0.0192,0.0149,0.0133,0.0173,0.0132
"Omega",1.2378,1.361,1.0013,1.2424,1.1836,1.1523,1.1395,1.1317
"Sortino ratio",0.088,0.1169,5e-04,0.0969,0.07,0.057,0.0602,0.0493
"Upside potential",0.0177,0.0134,0.0159,0.0239,0.0176,0.0153,0.0198,0.0149
"Upside potential ratio",0.4852,0.4974,0.5095,0.607,0.5013,0.4639,0.5209,0.4823
"Omega-sharpe ratio",0.2378,0.361,0.0013,0.2424,0.1836,0.1523,0.1395,0.1317
