"","BTC","XRP","DOGE","XLM","FIL","MANA","KCS","WAVES"
"MVP_less_8_2022",0.018,0.41,0.114,0.01,0.142,0.072,0.224,0.01
"maxSR_less_8_2022",0.05,0.048,0.572,0.15,0.02,0.054,0.096,0.01
"EW_less_8_2022",0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"InvInef_less_8_2022",0.1018,0.1232,0.2835,0.0805,0.1168,0.0504,0.1259,0.118
