"","ETH","BNB","TRX","BTCH","LINK","ETC","XRM","ZEC"
"MVP_most_8_2022",0.304,0.132,0.074,0.052,0.012,0.046,0.368,0.012
"maxSR_most_8_2022",0.72,0.01,0.004,0,0.038,0.04,0.188,0
"EW_most_8_2022",0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"InvInef_most_8_2022",0.1018,0.1232,0.2835,0.0805,0.1168,0.0504,0.1259,0.118
