"","BTC","BNB","XRP","DOGE","TRX","LINK","ETC","KCS"
"MVP_less_8_2020",0.72,0.02,0,0.26,0,0,0,0
"maxSR_less_8_2020",0.88,0.046,0.02,0.024,0,0.002,0.024,0.004
"EW_less_8_2020",0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"InvInef_less_8_2020",0.0691,0.1349,0.0727,0.0895,0.3442,0.0789,0.0678,0.143
