"","BTC","XRP","DOGE","TRX","LINK","XLM","FIL","KCS"
"MVP_less_8_2021",0.086,0.186,0.072,0.398,0.09,0.038,0.028,0.102
"maxSR_less_8_2021",0.014,0.012,0.136,0.012,0.714,0.026,0.024,0.062
"EW_less_8_2021",0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"InvInef_less_8_2021",0.0797,0.1301,0.1445,0.0685,0.261,0.053,0.1156,0.1476
