"","ETH","ADA","LTC","BTCH","FIL","EOS","ZEC","WAVES"
"MVP_most_8_2020",0.462,0.012,0.032,0.06,0.036,0.006,0.146,0.246
"maxSR_most_8_2020",0.386,0,0.12,0,0.096,0,0.01,0.388
"EW_most_8_2020",0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"InvInef_most_8_2020",0.0691,0.1349,0.0727,0.0895,0.3442,0.0789,0.0678,0.143
