"","BTC","ETH","BNB","XRP","ADA","DOGE","TRX","LTC","BTCH","LINK","XLM","ETC","XRM","FIL","MANA","EOS","KCS","ZEC","WAVES"
"MVP_index_19_2020",0.064,0.01,0.174,0.01,0.182,0.3,0.024,0.01,0.028,0.072,0.016,0.01,0.016,0.01,0.018,0.022,0.01,0.01,0.014
"maxSR_index_19_2020",0.01,0.01,0.012,0.034,0.01,0.41,0.022,0.014,0.252,0.01,0.03,0.058,0.01,0.048,0.012,0.026,0.01,0.012,0.01
"EW_index_19_2020",0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526
"InvInef_index_19_2020",0.0276,0.0538,0.029,0.0357,0.1374,0.0315,0.0271,0.0571,0.0532,0.0385,0.0459,0.0396,0.0506,0.1263,0.0491,0.0681,0.0265,0.0509,0.0523
"PropInef_index_19_2020",0.0821,0.042,0.078,0.0634,0.0165,0.0718,0.0836,0.0397,0.0425,0.0588,0.0493,0.0572,0.0447,0.0179,0.046,0.0332,0.0855,0.0444,0.0432
