"","BTC","ETH","BNB","XRP","ADA","DOGE","TRX","LTC","BTCH","LINK","XLM","ETC","XRM","FIL","MANA","EOS","KCS","ZEC","WAVES"
"MVP_index_19_2022",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.15,0.01,0.29,0.04,0.01,0.01,0.01,0.01,0.356,0.024
"maxSR_index_19_2022",0.494,0.01,0.012,0.052,0.01,0.01,0.068,0.01,0.01,0.034,0.01,0.01,0.01,0.01,0.01,0.04,0.178,0.012,0.01
"EW_index_19_2022",0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526
"InvInef_index_19_2022",0.0437,0.0529,0.1218,0.0346,0.0502,0.0216,0.0541,0.0507,0.065,0.0517,0.0384,0.0738,0.0847,0.0363,0.0306,0.0472,0.0361,0.0732,0.0333
"PropInef_index_19_2022",0.0542,0.0447,0.0194,0.0685,0.0472,0.1095,0.0438,0.0467,0.0364,0.0458,0.0616,0.0321,0.028,0.0653,0.0775,0.0502,0.0657,0.0324,0.0711
