"","ADA","LTC","BTCH","ETC","XRM","MANA","ZEC","WAVES"
"MVP_most_8_2021",0.01,0.332,0.314,0.046,0.028,0.018,0.012,0.24
"maxSR_most_8_2021",0.026,0.026,0.644,0.018,0.204,0.018,0.052,0.012
"EW_most_8_2021",0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"InvInef_most_8_2021",0.0797,0.1301,0.1445,0.0685,0.261,0.053,0.1156,0.1476
