"From","Trough","To","Depth","Length","To Trough","Recovery","strategy"
2022-01-02,2022-06-18,NA,-0.6901,304,168,NA,"third_MVP_top4"
2022-04-01,2022-09-15,NA,-0.8697,215,168,NA,"third_MVP_bottom4"
2022-01-03,2022-01-22,2022-03-09,-0.3716,66,20,46,"third_MVP_bottom4"
2022-03-10,2022-03-11,2022-03-16,-0.0563,7,2,5,"third_MVP_bottom4"
2022-03-23,2022-03-25,2022-03-26,-0.0163,4,3,1,"third_MVP_bottom4"
2022-03-20,2022-03-20,2022-03-22,-0.0144,3,1,2,"third_MVP_bottom4"
2022-01-03,2022-06-18,NA,-0.6851,303,167,NA,"third_maxSR_top4"
2022-04-01,2022-10-19,NA,-0.8732,215,202,NA,"third_maxSR_bottom4"
2022-01-03,2022-01-22,2022-03-28,-0.3755,85,20,65,"third_maxSR_bottom4"
2022-01-02,2022-06-18,NA,-0.6989,304,168,NA,"third_EW_top4"
2022-04-01,2022-09-15,NA,-0.8455,215,168,NA,"third_EW_bottom4"
2022-01-03,2022-01-22,2022-03-27,-0.3615,84,20,64,"third_EW_bottom4"
2022-01-02,2022-06-18,NA,-0.6954,304,168,NA,"third_InvInef_top4"
2022-03-31,2022-09-15,NA,-0.826,216,169,NA,"third_InvInef_bottom4"
2022-01-03,2022-01-22,2022-03-30,-0.3733,87,20,67,"third_InvInef_bottom4"
