"","Strategy_name","Cum Ret.","Ann Ret.","Ann Vol.","SR","VaR (95%)"
"1","maxSR_index_ROI",-0.681437401832683,-0.6126,0.6574,-0.9318,-0.0714
"2","maxSR_more4_ROI",-0.487065771312947,-0.425,0.5931,-0.7166,-0.0623
"3","maxSR_less4_ROI",-0.773598808419358,-0.7081,0.8384,-0.8446,-0.088
"4","maxSR_more8_ROI",-0.61744034892885,-0.5491,0.6405,-0.8573,-0.0713
"5","maxSR_less8_ROI",-0.723645529343347,-0.6556,0.7015,-0.9347,-0.0739
"6","maxSR_index_DEoptim",-0.635823630038447,-0.5671,0.5417,-1.047,-0.0607
"7","maxSR_more4_DEoptim",-0.542751428950453,-0.4773,0.6824,-0.6994,-0.0779
"8","maxSR_less4_DEoptim",-0.742130472728748,-0.6749,0.8017,-0.8417,-0.0838
"9","maxSR_more8_DEoptim",-0.589085450456992,-0.5216,0.5978,-0.8725,-0.0683
"10","maxSR_less8_DEoptim",-0.679357295809388,-0.6105,0.5506,-1.1088,-0.0614
