"","second_MVP_top4","second_MVP_bottom4","second_maxSR_top4","second_maxSR_bottom4","second_EW_top4","second_EW_bottom4","second_InvInef_top4","second_InvInef_bottom4"
"daily  Std Dev",0.0676,0.0825,0.0668,0.0427,0.0667,0.0726,0.0711,0.0809
"Skewness",-0.3114,1.3343,0.4002,-0.2083,-0.2616,0.3659,0.0821,1.0715
"Kurtosis",7.9584,17.2805,5.6154,4.7741,7.5337,12.8482,8.1878,16.6679
"Excess kurtosis",4.9584,14.2805,2.6154,1.7741,4.5337,9.8482,5.1878,13.6679
"Sample skewness",-0.314,1.3454,0.4035,-0.21,-0.2637,0.3689,0.0828,1.0804
"Sample excess kurtosis",5.0436,14.4947,2.6682,1.8152,4.613,10.001,5.2762,13.8736
